unitid,efalevel,line,section,lstudy,eftotlt
100654,1,29,3,4,6614
100654,2,99,3,1,5845
100654,3,99,3,1,5726
100654,4,99,3,1,1990
100654,5,99,3,1,3736
100654,11,99,3,1,119
100654,12,99,3,3,769
100654,19,99,3,1,280
100654,20,99,3,1,3456
100654,21,14,1,4,5660
100654,22,8,1,1,5221
100654,23,6,1,1,5219
100654,24,1,1,1,1976
100654,25,99,1,1,3243
100654,31,7,1,1,2
100654,32,11,1,3,439
100654,39,2,1,1,246
100654,40,3,1,1,2997
100654,41,28,2,4,954
100654,42,22,2,1,624
100654,43,20,2,1,507
100654,44,15,2,1,14
100654,45,99,2,1,493
100654,51,21,2,1,117
100654,52,25,2,3,330
100654,59,16,2,1,34
100654,60,17,2,1,459
100663,1,29,3,4,21160
100663,2,99,3,1,12382
100663,3,99,3,1,12118
100663,4,99,3,1,2095
100663,5,99,3,1,10023
100663,11,99,3,1,264
100663,12,99,3,3,8778
100663,19,99,3,1,1060
100663,20,99,3,1,8963
100663,21,14,1,4,14815
100663,22,8,1,1,9841
100663,23,6,1,1,9805
100663,24,1,1,1,2057
100663,25,99,1,1,7748
100663,31,7,1,1,36
100663,32,11,1,3,4974
100663,39,2,1,1,722
100663,40,3,1,1,7026
100663,41,28,2,4,6345
100663,42,22,2,1,2541
100663,43,20,2,1,2313
100663,44,15,2,1,38
100663,45,99,2,1,2275
100663,51,21,2,1,228
100663,52,25,2,3,3804
100663,59,16,2,1,338
100663,60,17,2,1,1937
100690,1,29,3,4,636
100690,2,99,3,1,226
100690,3,99,3,1,226
100690,5,99,3,1,226
100690,12,99,3,3,410
100690,19,99,3,1,170
100690,20,99,3,1,56
100690,21,14,1,4,261
100690,22,8,1,1,129
100690,23,6,1,1,129
100690,25,99,1,1,129
100690,32,11,1,3,132
100690,39,2,1,1,105
100690,40,3,1,1,24
100690,41,28,2,4,375
100690,42,22,2,1,97
100690,43,20,2,1,97
100690,45,99,2,1,97
100690,52,25,2,3,278
100690,59,16,2,1,65
100690,60,17,2,1,32
100706,1,29,3,4,8743
100706,2,99,3,1,6851
100706,3,99,3,1,6650
100706,4,99,3,1,1176
100706,5,99,3,1,5474
100706,11,99,3,1,201
100706,12,99,3,3,1892
100706,19,99,3,1,603
100706,20,99,3,1,4871
100706,21,14,1,4,6275
100706,22,8,1,1,5644
100706,23,6,1,1,5642
100706,24,1,1,1,1162
100706,25,99,1,1,4480
100706,31,7,1,1,2
100706,32,11,1,3,631
100706,39,2,1,1,454
100706,40,3,1,1,4026
100706,41,28,2,4,2468
100706,42,22,2,1,1207
100706,43,20,2,1,1008
100706,44,15,2,1,14
100706,45,99,2,1,994
100706,51,21,2,1,199
100706,52,25,2,3,1261
100706,59,16,2,1,149
100706,60,17,2,1,845
100724,1,29,3,4,3870
100724,2,99,3,1,3322
100724,3,99,3,1,3322
100724,4,99,3,1,951
100724,5,99,3,1,2371
100724,12,99,3,3,548
100724,19,99,3,1,140
100724,20,99,3,1,2231
100724,21,14,1,4,3337
100724,22,8,1,1,2959
100724,23,6,1,1,2959
100724,24,1,1,1,909
100724,25,99,1,1,2050
100724,32,11,1,3,378
100724,39,2,1,1,129
100724,40,3,1,1,1921
100724,41,28,2,4,533
100724,42,22,2,1,363
100724,43,20,2,1,363
100724,44,15,2,1,42
100724,45,99,2,1,321
100724,52,25,2,3,170
100724,59,16,2,1,11
100724,60,17,2,1,310
100751,1,29,3,4,39622
100751,2,99,3,1,33435
100751,3,99,3,1,32323
100751,4,99,3,1,8279
100751,5,99,3,1,24044
100751,11,99,3,1,1112
100751,12,99,3,3,6187
100751,19,99,3,1,1151
100751,20,99,3,1,22893
100751,21,14,1,4,33663
100751,22,8,1,1,30003
100751,23,6,1,1,29956
100751,24,1,1,1,8215
100751,25,99,1,1,21741
100751,31,7,1,1,47
100751,32,11,1,3,3660
100751,39,2,1,1,803
100751,40,3,1,1,20938
100751,41,28,2,4,5959
100751,42,22,2,1,3432
100751,43,20,2,1,2367
100751,44,15,2,1,64
100751,45,99,2,1,2303
100751,51,21,2,1,1065
100751,52,25,2,3,2527
100751,59,16,2,1,348
100751,60,17,2,1,1955
100760,1,29,3,4,1910
100760,2,99,3,1,1910
100760,3,99,3,1,1134
100760,4,99,3,1,381
100760,5,99,3,1,753
100760,11,99,3,1,776
100760,19,99,3,1,122
100760,20,99,3,1,631
100760,21,14,1,4,561
100760,22,8,1,1,561
100760,23,6,1,1,550
100760,24,1,1,1,274
100760,25,99,1,1,276
100760,31,7,1,1,11
100760,39,2,1,1,46
100760,40,3,1,1,230
100760,41,28,2,4,1349
100760,42,22,2,1,1349
100760,43,20,2,1,584
100760,44,15,2,1,107
100760,45,99,2,1,477
100760,51,21,2,1,765
100760,59,16,2,1,76
100760,60,17,2,1,401
100812,1,29,3,4,2955
100812,2,99,3,1,2531
100812,3,99,3,1,2407
100812,5,99,3,1,2407
100812,11,99,3,1,124
100812,12,99,3,3,424
100812,19,99,3,1,647
100812,20,99,3,1,1760
100812,21,14,1,4,1184
100812,22,8,1,1,1121
100812,23,6,1,1,1115
100812,25,99,1,1,1115
100812,31,7,1,1,6
100812,32,11,1,3,63
100812,39,2,1,1,413
100812,40,3,1,1,702
100812,41,28,2,4,1771
100812,42,22,2,1,1410
100812,43,20,2,1,1292
100812,45,99,2,1,1292
100812,51,21,2,1,118
100812,52,25,2,3,361
100812,59,16,2,1,234
100812,60,17,2,1,1058
100830,1,29,3,4,5189
100830,2,99,3,1,3407
100830,3,99,3,1,2693
100830,4,99,3,1,413
100830,5,99,3,1,2280
100830,11,99,3,1,714
100830,12,99,3,3,1782
100830,19,99,3,1,254
100830,20,99,3,1,2026
100830,21,14,1,4,3233
100830,22,8,1,1,2422
100830,23,6,1,1,2162
100830,24,1,1,1,408
100830,25,99,1,1,1754
100830,31,7,1,1,260
100830,32,11,1,3,811
100830,39,2,1,1,221
100830,40,3,1,1,1533
100830,41,28,2,4,1956
100830,42,22,2,1,985
100830,43,20,2,1,531
100830,44,15,2,1,5
100830,45,99,2,1,526
100830,51,21,2,1,454
100830,52,25,2,3,971
100830,59,16,2,1,33
100830,60,17,2,1,493
100858,1,29,3,4,33015
100858,2,99,3,1,26874
100858,3,99,3,1,25732
100858,4,99,3,1,5935
100858,5,99,3,1,19797
100858,11,99,3,1,1142
100858,12,99,3,3,6141
100858,19,99,3,1,1221
100858,20,99,3,1,18576
100858,21,14,1,4,27618
100858,22,8,1,1,24135
100858,23,6,1,1,24096
100858,24,1,1,1,5916
100858,25,99,1,1,18180
100858,31,7,1,1,39
100858,32,11,1,3,3483
100858,39,2,1,1,1097
100858,40,3,1,1,17083
100858,41,28,2,4,5397
100858,42,22,2,1,2739
100858,43,20,2,1,1636
100858,44,15,2,1,19
100858,45,99,2,1,1617
100858,51,21,2,1,1103
100858,52,25,2,3,2658
100858,59,16,2,1,124
100858,60,17,2,1,1493
100937,1,29,3,4,731
100937,2,99,3,1,713
100937,3,99,3,1,713
100937,4,99,3,1,148
100937,5,99,3,1,565
100937,12,99,3,3,18
100937,19,99,3,1,29
100937,20,99,3,1,536
100937,21,14,1,4,724
100937,22,8,1,1,706
100937,23,6,1,1,706
100937,24,1,1,1,148
100937,25,99,1,1,558
100937,32,11,1,3,18
100937,39,2,1,1,29
100937,40,3,1,1,529
100937,41,28,2,4,7
100937,42,22,2,1,7
100937,43,20,2,1,7
100937,45,99,2,1,7
100937,60,17,2,1,7
101028,1,29,3,4,1712
101028,2,99,3,1,1712
101028,3,99,3,1,1044
101028,4,99,3,1,272
101028,5,99,3,1,772
101028,11,99,3,1,668
101028,19,99,3,1,176
101028,20,99,3,1,596
101028,21,14,1,4,536
101028,22,8,1,1,536
101028,23,6,1,1,497
101028,24,1,1,1,209
101028,25,99,1,1,288
101028,31,7,1,1,39
101028,39,2,1,1,83
101028,40,3,1,1,205
101028,41,28,2,4,1176
101028,42,22,2,1,1176
101028,43,20,2,1,547
101028,44,15,2,1,63
101028,45,99,2,1,484
101028,51,21,2,1,629
101028,59,16,2,1,93
101028,60,17,2,1,391
101116,1,29,3,4,319
101116,2,99,3,1,302
101116,3,99,3,1,302
101116,4,99,3,1,24
101116,5,99,3,1,278
101116,12,99,3,3,17
101116,19,99,3,1,52
101116,20,99,3,1,226
101116,21,14,1,4,228
101116,22,8,1,1,217
101116,23,6,1,1,217
101116,24,1,1,1,20
101116,25,99,1,1,197
101116,32,11,1,3,11
101116,39,2,1,1,39
101116,40,3,1,1,158
101116,41,28,2,4,91
101116,42,22,2,1,85
101116,43,20,2,1,85
101116,44,15,2,1,4
101116,45,99,2,1,81
101116,52,25,2,3,6
101116,59,16,2,1,13
101116,60,17,2,1,68
101143,1,29,3,4,2248
101143,2,99,3,1,2248
101143,3,99,3,1,1476
101143,4,99,3,1,554
101143,5,99,3,1,922
101143,11,99,3,1,772
101143,19,99,3,1,125
101143,20,99,3,1,797
101143,21,14,1,4,1027
101143,22,8,1,1,1027
101143,23,6,1,1,957
101143,24,1,1,1,438
101143,25,99,1,1,519
101143,31,7,1,1,70
101143,39,2,1,1,69
101143,40,3,1,1,450
101143,41,28,2,4,1221
101143,42,22,2,1,1221
101143,43,20,2,1,519
101143,44,15,2,1,116
101143,45,99,2,1,403
101143,51,21,2,1,702
101143,59,16,2,1,56
101143,60,17,2,1,347
101161,1,29,3,4,6791
101161,2,99,3,1,6791
101161,3,99,3,1,4714
101161,4,99,3,1,1505
101161,5,99,3,1,3209
101161,11,99,3,1,2077
101161,19,99,3,1,376
101161,20,99,3,1,2833
101161,21,14,1,4,2697
101161,22,8,1,1,2697
101161,23,6,1,1,2681
101161,24,1,1,1,1210
101161,25,99,1,1,1471
101161,31,7,1,1,16
101161,39,2,1,1,194
101161,40,3,1,1,1277
101161,41,28,2,4,4094
101161,42,22,2,1,4094
101161,43,20,2,1,2033
101161,44,15,2,1,295
101161,45,99,2,1,1738
101161,51,21,2,1,2061
101161,59,16,2,1,182
101161,60,17,2,1,1556
101189,1,29,3,4,2933
101189,2,99,3,1,1793
101189,3,99,3,1,1555
101189,4,99,3,1,249
101189,5,99,3,1,1306
101189,11,99,3,1,238
101189,12,99,3,3,1140
101189,19,99,3,1,277
101189,20,99,3,1,1029
101189,21,14,1,4,2160
101189,22,8,1,1,1228
101189,23,6,1,1,1227
101189,24,1,1,1,228
101189,25,99,1,1,999
101189,31,7,1,1,1
101189,32,11,1,3,932
101189,39,2,1,1,205
101189,40,3,1,1,794
101189,41,28,2,4,773
101189,42,22,2,1,565
101189,43,20,2,1,328
101189,44,15,2,1,21
101189,45,99,2,1,307
101189,51,21,2,1,237
101189,52,25,2,3,208
101189,59,16,2,1,72
101189,60,17,2,1,235
101240,1,29,3,4,4728
101240,2,99,3,1,4728
101240,3,99,3,1,3619
101240,4,99,3,1,1079
101240,5,99,3,1,2540
101240,11,99,3,1,1109
101240,19,99,3,1,337
101240,20,99,3,1,2203
101240,21,14,1,4,2133
101240,22,8,1,1,2133
101240,23,6,1,1,2104
101240,24,1,1,1,916
101240,25,99,1,1,1188
101240,31,7,1,1,29
101240,39,2,1,1,153
101240,40,3,1,1,1035
101240,41,28,2,4,2595
101240,42,22,2,1,2595
101240,43,20,2,1,1515
101240,44,15,2,1,163
101240,45,99,2,1,1352
101240,51,21,2,1,1080
101240,59,16,2,1,184
101240,60,17,2,1,1168
101277,1,29,3,4,39
101277,2,99,3,1,39
101277,3,99,3,1,39
101277,4,99,3,1,33
101277,5,99,3,1,6
101277,20,99,3,1,6
101277,21,14,1,4,39
101277,22,8,1,1,39
101277,23,6,1,1,39
101277,24,1,1,1,33
101277,25,99,1,1,6
101277,40,3,1,1,6
101286,1,29,3,4,4010
101286,2,99,3,1,4010
101286,3,99,3,1,3053
101286,4,99,3,1,706
101286,5,99,3,1,2347
101286,11,99,3,1,957
101286,19,99,3,1,250
101286,20,99,3,1,2097
101286,21,14,1,4,1212
101286,22,8,1,1,1212
101286,23,6,1,1,1204
101286,24,1,1,1,461
101286,25,99,1,1,743
101286,31,7,1,1,8
101286,39,2,1,1,111
101286,40,3,1,1,632
101286,41,28,2,4,2798
101286,42,22,2,1,2798
101286,43,20,2,1,1849
101286,44,15,2,1,245
101286,45,99,2,1,1604
101286,51,21,2,1,949
101286,59,16,2,1,139
101286,60,17,2,1,1465
101295,1,29,3,4,6023
101295,2,99,3,1,6023
101295,3,99,3,1,4413
101295,4,99,3,1,1285
101295,5,99,3,1,3128
101295,11,99,3,1,1610
101295,19,99,3,1,543
101295,20,99,3,1,2585
101295,21,14,1,4,2463
101295,22,8,1,1,2463
